6,0,255
6,0,255
6,0,255
6,0,255
6,0,255
6,0,255
6,0,255
7,0,255
7,0,255
8,0,255
8,0,255
7,0,255
6,0,255
6,0,255
5,0,255
4,0,255
4,0,255
4,0,255
5,0,255
6,0,255
6,0,255
6,0,255
6,0,255
6,0,255
5,0,255
4,0,255
4,0,255
6,0,255
16,0,255
32,0,255
37,6,255
31,25,255
23,56,246
20,87,207
22,94,169
25,86,139
29,73,128
31,61,129
35,48,139
38,39,151
40,31,160
42,27,167
43,24,171
44,21,174
45,21,174
46,18,177
48,12,182
50,9,180
51,5,166
52,2,146
50,1,115
48,1,100
46,0,86
46,0,81
45,0,76
45,0,76
45,0,81
46,0,86
47,0,86
47,0,86
47,0,90
47,0,90
47,0,90
47,0,90
48,1,95
48,1,95
48,1,100
48,1,105
48,1,105
48,1,105
48,1,110
49,1,115
48,1,115
48,1,115
49,1,120
50,2,134
52,3,142
52,3,150
52,4,157
52,4,160
52,5,164
52,5,166
52,5,166
52,7,174
47,20,177
40,38,156
35,57,135
31,76,127
28,91,132
25,109,147
23,118,169
21,117,203
21,105,228
23,82,247
27,60,255
32,36,255
35,25,255
39,17,255
42,11,255
43,10,255
44,8,255
44,7,255
45,7,255
45,8,255
46,8,255
46,8,255
47,8,255
49,8,255
52,8,255
55,9,255
60,9,255
70,9,255
79,10,255
87,10,255
96,14,255
101,17,255
107,23,255
110,27,255
110,28,255
112,31,255
113,32,255
115,37,255
115,41,255
116,47,255
117,60,255
116,73,255
114,86,255
113,90,255
111,99,255
110,101,255
109,103,255
108,107,255
107,110,255
106,112,255
105,110,255
104,113,255
104,111,255
103,114,255
102,117,255
100,121,254
98,125,254
96,130,252
94,137,250
91,144,247
90,148,246
89,151,245
87,154,243
85,157,241
82,163,237
79,169,233
77,172,231
76,176,228
73,181,223
72,184,220
70,187,217
69,189,214
68,191,210
66,194,207
66,194,207
66,194,207
65,192,207
62,190,207
58,187,207
55,185,207
50,185,203
46,185,199
37,188,186
29,186,176
23,183,162
17,172,144
14,160,135
14,144,129
15,119,128
19,95,133
23,77,142
31,56,153
39,41,163
44,29,171
47,14,181
40,5,176
26,1,157
11,0,115
5,0,68
3,0,27
3,0,6
3,0,0
3,0,0
2,0,0
2,0,0
1,0,0
